movie_title,duration,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,num_voted_users,gross,imdb_score,budget,movie_facebook_likes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
Avatar ,2.9999431980744102,4.512029870844378,-0.2592737713376945,-0.4290922862134811,-0.2313019206360876,0.05415323642271402,-0.3410318184708645,5.193151497118475,10.154670627152305,7.9,0.8609225550999068,1.1178253486260474,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Pirates of the Caribbean: At World's End ,2.603156645465655,1.116866515897153,-0.07295370423360502,2.1070029279230624,0.6741371386890783,0.13182621270455594,1.956190709590539,2.4420303154403045,3.696661214948792,7.1,1.143832241825049,-0.4294531758261365,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectre ,1.677321356045226,3.536222825835793,-0.2592737713376945,0.22118853792409393,-0.3522796295961184,-0.3176056983331357,0.0214263550209453,1.1469514085831876,2.131484164346059,6.8,0.8968475946840517,3.55596120533858,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Dark Knight Rises ,2.382719671794124,5.23783676382597,7.021439330420687,1.2616378565442148,4.684447932944242,11.9166915796047,5.039619118487004,6.904434736930446,5.682681192421846,8.5,0.9193007444241424,7.26005221842108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
John Carter ,0.9719230402963278,2.407189881197761,-0.10207655664063851,-0.4525023958824338,-0.2990316140501749,-0.11994136558831059,-0.4973438854253137,0.7248932595693482,0.3131197517191065,6.6,0.9808223747119909,0.6958402965027245,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spider-Man 3 ,2.030020513919675,1.8426734088787449,-0.2592737713376945,1.0665536093029422,2.0109074034407994,1.738853308190939,1.835036979884203,1.8575503165452287,4.085001450457891,6.2,0.9552257840082876,-0.4294531758261365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tangled ,-0.4388735912014687,1.2942859786259866,-0.2543096487683138,-0.4421629307786464,-0.3166324225360726,-0.251717587418194,-0.4887390671498746,1.272526701662795,2.141979098855148,7.8,0.9642070439043238,0.9302764365712372,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Avengers: Age of Ultron ,1.368709592905083,3.802352019929044,-0.2592737713376945,1.196609774130457,4.238857844693668,9.773988785622857,4.260487137338501,2.3853417751001227,5.83816755682475,7.5,0.9193007444241424,5.103239729790763,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Harry Potter and the Half-Blood Prince ,1.8977583297167568,1.7055765513155554,-0.16594826703333712,1.1315816917166996,2.0109074034407994,4.952907499163706,2.5053681606297613,1.4514227677462717,3.5900468807457284,7.5,0.9193007444241424,0.03941910431088867,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Batman v Superman: Dawn of Justice ,3.220380171745941,4.108803819187938,-0.2592737713376945,0.4813008675791243,0.4513420945637913,0.6675019112000171,0.694502631167257,1.7818617345005725,3.995078681494856,6.9,0.9193007444241424,8.807330742873265,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
